step,accuracy,f1_score
1000,0.395,0.17473072815811563
2000,0.444,0.22025537472153744
3000,0.433,0.197013959056992
4000,0.426,0.2102389727841582
5000,0.424,0.2068894318476932
6000,0.43,0.17885887696606848
7000,0.458,0.2302630866873994
8000,0.407,0.1728351872332582
9000,0.423,0.1880289722872115
10000,0.444,0.2181840723974851
11000,0.44,0.21650662329831882
12000,0.411,0.20190992441065422
13000,0.434,0.18932026503966598
14000,0.431,0.21232798944132297
15000,0.407,0.18424517765018095
16000,0.421,0.1778129136608123
17000,0.43,0.16793665344327685
18000,0.432,0.19479769527753485
19000,0.43,0.18783614892352077
20000,0.436,0.22137713109012966
